ID,titles,issue,volume
479,Food Habits of Sixth- and Seventh-Grade Pupils in Ten Elementary Schools of Chicago,4,9
480,The Educational Responsibilities outside the Classroom of Women Instructors of Physical Education in the State of Indiana,4,9
481,A Study of Falls in Skiing,4,9
482,Studies of the Johnson Test as a Test of Motor Educability,4,9
483,Tests for Predicting Potential Ability in Gymnastics and Tumbling,4,9
484,Selected Bibliography for 1937,4,9
485,Book Reviews,4,9
486,Research in Recreation,1,10
487,Physiological Data Significant to Participation by Women in Physical Activities,1,10
488,Exercise and Heart Disease,1,10
489,A Study in Variation in Response Time,1,10
490,Grade Placement of Folk Dances,1,10
491,A Study of Factors Influencing Participation of College Women in an Elective Program of Physical Education,1,10
492,Prediction in Physical Education,1,10
493,"Abstract: A National Study of Incidence of Accidents in High School Wrestling, 1937–1938",1,10
494,Sports in Which Men over Age Twenty Engage,1,10
495,How Much Do College Women Know about Syphilis and Gonorrhea?,1,10
496,"Medical and Physical Education Examinations of Freshmen and New High School Students in the Public Schools of Seattle, Washington, School Year, 1937–1938",1,10
497,Two Studies in Swimming Starts,1,10
498,Liability in Athletics in Oregon,1,10
499,The Standardization and Use of Objective Type Information Tests in Team Game Activities,1,10
500,Library Research that Works,1,10
501,A Survey of Special Interest Activities,1,10
502,A Study of the Most Popular Games of Low Organization—Grades I-VI,1,10
503,Physical Education in the Junior High Schools of Illinois,1,10
504,The Status of Health and Physical Education for Women in Negro Colleges and Universities,1,10
505,A Method to Increase the Validity of Measuring Posture,1,10
506,A Study of the Standardization of Exercise for Use in the Pulse-Ratio Test,1,10
507,Book Reviews,1,10
508,The Original Table of Contents and Contributing Editors,1,10
509,Elementary Principles and Techniques of Cinematographic Analysis as Aids in Athletic Research,2,10
510,A Bibliography of Textbooks in Health Education for the Elementary and High Schools,2,10
511,An Analysis of the Components of Tests of Semicircular Canal Function and of Static and Dynamic Balance,2,10
512,A Health Knowledge Survey,2,10
513,The Fair Sex in Greek Society,2,10
514,Vital Capacity in Trunk Deformities,2,10
515,A Study of the Content of Professional Courses in Physical Education,2,10
516,A Study of Teaching Difficulties in Physical Education,2,10
517,The Factor of Age in Teaching Physical Education,2,10
518,The Civilian Conservation Corps as a Builder of Physical Fitness in Youth,2,10
519,Vitality Indexes for Summer Camps,2,10
520,"A Selected Bibliography of the Dance in Health, Hygiene, and Physiology",2,10
521,The Status of Physical Education for Boys in the State Accredited Class a High Schools for Negroes in Texas,2,10
522,University of Minnesota Study of Physical Education Facilities and Equipment of the Accredited Public Secondary Schools of Minnesota,2,10
523,"A Study of the Comparative Recreational Values of Volleyball with Team Games, Dual, and Individual Activities for College Women",2,10
524,A Comparison of Two Methods of Teaching Hygiene to College Freshmen,2,10
525,The Sociological Contributions of Physical Education to the Needs of the Negro,2,10
526,Sports Interests and Attitudes of Students Enrolled in the Service Curriculum in Physical Education at the University of Illinois,2,10
527,Effect of the Elimination of the Center Jump on the Game of Basketball,2,10
528,A Motion Picture Questionnaire,2,10
529,Book Reviews,2,10
530,The Original Table of Contents and Contributing Editors,2,10
531,Respiration in Swimming and Diving,3,10
532,The Development of Public Recreation in Metropolitan Chicago,3,10
533,An Experimental Analysis of Running and of Certain Fundamental Differences between Trained and Untrained Runners,3,10
534,The Physical Development of Students in the Bulgarian Gymnasiums,3,10
535,Studies in the Physiology of Activity: III. On Certain Reactions of College Women following Participation in Three-Court Basketball,3,10
536,The Distance Traversed by Big Ten Basketball Players,3,10
537,The Assessment of Motor Abilities of College Women through Objective Tests,3,10
538,"Changes in the Ages and Physical Measurements of Students at the University of Michigan, as Noted by a Comparison between Two Freshmen Groups (1899–1900 and 1938)",3,10
539,A Survey of Recreational Interests and Pursuits of College Women,3,10
540,Health Problems of the Self-Supporting Student,3,10
541,Safety Education as Provided in Elementary and High School Courses of Study of Large Cities,3,10
542,A Critical Evaluation of Some of the Existing Means of Classifying Boys for Physical Education,3,10
543,A Basketball Motor Ability Test for College Women and Secondary School Girls,3,10
544,Improving the Construction of the Essay and Objective New Type Examination,3,10
545,Book Reviews,3,10
546,The Original Table of Contents and Contributing Editors,3,10
547,Some Unexplored Areas for Research,4,10
548,The Field of Research in Recreation,4,10
549,The Coeducational Physical Education Class Program at the College Level,4,10
550,Specific Diets and Athletic Fitness: A Preliminary Investigation,4,10
551,Some Differences in Bodily Proportions between American Negro and White Male College Students as Related to Athletic Performance,4,10
552,Standards for Testing Beginning Swimming,4,10
553,An Experiment in Self-Directed Study for College Freshmen,4,10
554,"A Survey to Determine the Status of Soccer for Women in Colleges and Universities of the South, Combined with a Survey of Methods of Teaching Soccer",4,10
555,A Brief Survey of the Present Status of the Health and Physical Education Requirement for Men Students in Colleges and Universities,4,10
556,Motor Ability Tests for High School Girls,4,10
557,Chemical Factors of Fatigue,4,10
558,Selected Bibliography for 1938,4,10
559,Book Reviews,4,10
560,The Original Table of Contents and Contributing Editors,4,10
561,A Mechanical Pulse Recorder for Pulse Rate Tests,1,11
562,Tables Predicting the Advent of the Menarche from Height and Weight,1,11
563,The Effect of Football and Basketball on Vision,1,11
564,The Sanction of the Health Examination,1,11
565,Rhythmics in Music and Dance,1,11
566,Prediction of Time in Swimming Breast Stroke Based on Oxygen Consumption,1,11
567,Strength Tests as Measures of General Athletic Ability in College Men,1,11
568,A Further Study of the Optimum Time for Holding a Swimmer on His Marks,1,11
569,A Study of the Primary Components of Cardiovascular Tests,1,11
570,A Comparative Study of Undergraduate Men Majors and Non-Majors in Physical Education with Respect to Certain Characteristics,1,11
571,The Evaluation of Boxing as a College Activity,1,11
572,A Study of the Distance Traversed and the Time Spent in Active Play in Women's Basketball,1,11
573,Analysis of the Basic Factors Involved in Fancy Diving,1,11
574,Knowledge Test of Syphilis and Gonorrhea,1,11
575,Study of Correlations on Measurements of Men Students at Pomona College,1,11
576,A Critical Evaluation of the Physical Education Program of the Rural Schools of Michigan,1,11
577,Inter-relationships of Physical and Mental Abilities and Achievements of High School Boys,1,11
578,"A Study of Age, Weight, and Height of Entering Freshmen at the University of Illinois",1,11
579,Comparison of the Rogers Test and the City College of New York Physical Proficiency Test as Bases for Classifying Students for Activity in Physical Education,1,11
580,Bibliography of Master's Theses and Doctoral Studies in the Field of Recreation,1,11
581,Book Reviews,1,11
582,The Original Table of Contents and Contributing Editors,1,11
583,The Present Status of Physical Indices,2,11
584,Accuracy in Securing Pulse Rates by Palpation,2,11
585,A Study of Intramural Sports Participation and Scholastic Attainment,2,11
586,A Preliminary Study of Factors in Motor Educability,2,11
587,Status of Physical Education in Elementary Schools,2,11
588,Pure Speed as a Positive Factor in Some Track and Field Events,2,11
589,A Study of the Social Values of a Team Game and of Two Individual Sports as Judged by the Attitudes of Freshman College Women,2,11
590,Intramural Athletics for Men in Negro Colleges,2,11
591,"Review of a Decade of Research in Aquatics at Springfield College, 1929–1939",2,11
592,Safety in Elementary and Junior High Schools of New York City,2,11
593,A Study of Response Time before and after Strenuous Exercise,2,11
594,Teaching Hygiene Visually,2,11
595,Achievement Examinations for Elementary and Intermediate Swimming Classes,2,11
596,New Studies in the Sargent Jump,2,11
597,The Construction of a Multiple Obstacle Run for Classifying Junior High School Boys into Homogeneous Groups for Physical Education Activities,2,11
598,The Determination of a Reading Vocabulary in Junior High School Hygiene,2,11
599,Factors Which May Influence the Participation in Physical Education of Girls and Women 15–25 Years of Age,2,11
600,Characteristic Positions in the Field of Aquatics,2,11
601,A Study of Recreational Programs in Rural Schools,2,11
602,Studies for the Years 1937–1939 Listed in the Files of the Committee for Research for the National Association of Directors of Physical Education for College Women,2,11
603,Book Reviews,2,11
604,The Original Table of Contents and Contributing Editors,2,11
605,The Validity of Circulatory-Respiratory Measures as an Index of Endurance Condition in Swimming,3,11
606,Physiology and the Physical Educator,3,11
607,A Study of Distances Traversed by College Men and Women in Playing the Game of Basketball,3,11
608,Short Cuts in Working Out Intercorrelations,3,11
609,Report on National Survey of Student Recreation in Colleges and Universities,3,11
610,Chest—Height—Weight Tables for College Women,3,11
611,The Correlation of Rogers' Test of Physical Capacity and the Cubberley and Cozens Measurement of Achievement in Basketball,3,11
612,A Brief Study of Nutritional Status in Relation to Strength and Skill,3,11
613,The Philosophical or Group Thinking Method of Research,3,11
